연번,종교구분,종교시설명,주소,전화번호,데이터기준일자
93,기독교,진주열린교회,경상남도 진주시 이반성면 길성길19번길 23,055-753-0901,2025-06-20
94,기독교,마성교회,경상남도 진주시 사봉면 지사로349번길 24,055-754-3920,2025-06-20
95,기독교,복된교회,경상남도 진주시 사봉면 사군로231번길 1,055-754-3741,2025-06-20
96,천주교,문산성당 사봉공소,경상남도 진주시 사봉면 동부로1751번길 46-6,055-761-5453,2025-06-20
97,불교,관음사,경상남도 진주시 지수면 지수로 642번길 161,055-753-3766,2025-06-20
98,불교,금선암,경상남도 진주시 지수면 금평로 242번길 13-6,055-754-5152,2025-06-20
99,불교,길상사,경상남도 진주시 지수면 용봉로 249번길 35-31,055-758-9256,2025-06-20
100,불교,성불암,경상남도 진주시 지수면 청원길 95-133,055-759-5888,2025-06-20
101,불교,약련암,경상남도 진주시 지수면 방어산로 14-25,,2025-06-20
102,불교,천관사,경상남도 진주시 지수면 지수로 517번길 26,055-759-3009,2025-06-20
103,불교,천호사,경상남도 진주시 지수면 청원길 233,055-754-7866,2025-06-20
104,불교,청암사,경상남도 진주시 지수면 청원길 57번길 4,,2025-06-20
105,불교,호인사,경상남도 진주시 지수면 지사로 754번길 143,,2025-06-20
106,불교,지수암,경상남도 진주시 지수면 청담길175번길 34-16,055-758-7870,2025-06-20
107,기독교,동지교회,경상남도 진주시 지수면 용봉로 710,055-754-5298,2025-06-20
108,기독교,송정교회,경상남도 진주시 지수면 지사로 831-12,055-754-5484,2025-06-20
109,기독교,영광수양원,경상남도 진주시 지수면 용봉로 572,055-758-3611,2025-06-20
110,기독교,지수교회,경상남도 진주시 지수면 지수로 483-9,055-754-5443,2025-06-20
111,기독교,후세대교회,경상남도 진주시 지수면 청원길 153,,2025-06-20
112,불교,봉대사,경상남도 진주시 대곡면 월암로456번길 228,055-744-2687,2025-06-20
113,기독교,참아름다운교회,경상남도 진주시 대곡면 월암로 340,,2025-06-20
114,불교,삼보사,경상남도 진주시 대곡면 월암로 332-21,055-744-2637,2025-06-20
115,기독교,시내산교회,경상남도 진주시 대곡면 월암로 310-31,,2025-06-20
116,기독교,평안교회,경상남도 진주시 대곡면 월암로 171,055-746-0153,2025-06-20
117,불교,대경사,경상남도 진주시 대곡면 널방재길 279-28,,2025-06-20
118,천리교,상평교회,경상남도 진주시 대곡면 월암로 93-2,055-752-0657,2025-06-20
119,불교,정진암,경상남도 진주시 대곡면 월암로 93-11,055-744-2741,2025-06-20
120,불교,도광사,경상남도 진주시 대곡면 월암로23번길 46,055-744-2733,2025-06-20
121,기타,성덕도 대곡교화원,경상남도 진주시 대곡면 진의로 1065-10,055-744-0012,2025-06-20
122,기독교,진주대곡교회,경상남도 진주시 대곡면 진의로1056번길 6,055-745-5844,2025-06-20
123,불교,대곡사,경상남도 진주시 대곡면 진의로1080번길 21,055-746-1579,2025-06-20
124,불교,수도암,경상남도 진주시 대곡면 진의로1056번길 39,,2025-06-20
125,불교,도명정사,경상남도 진주시 대곡면 남강로2366번길 64-10,055-745-8293,2025-06-20
126,불교,문경암,경상남도 진주시 대곡면 유곡로 80-13,055-746-5833,2025-06-20
127,불교,불동암,경상남도 진주시 대곡면 오방로 194-24,055-746-9286,2025-06-20
128,기독교,단목교회,경상남도 진주시 대곡면 단목길7번길 37-24,055-744-2866,2025-06-20
129,불교,금강암,경상남도 진주시 대곡면 단목길7번길 37-13,,2025-06-20
130,기타,(사)성덕도,경상남도 진주시 대곡면 단목길 100,055-745-6328,2025-06-20
131,불교,(사)한국불교원효종 비룡사,경상남도 진주시 대곡면 대화로 92-1,055-741-8586,2025-06-20
132,불교,소원사,경상남도 진주시 대곡면 진의로 863-42,,2025-06-20
133,불교,묘심사,경상남도 진주시 대곡면 진의로657번길 109,055-744-1530,2025-06-20
134,불교,기원정사,경상남도 진주시 대곡면 마진한실로 539-39,055-745-8961,2025-06-20
135,기독교,한실교회,경상남도 진주시 대곡면 마진한실로 615-8,055-745-2056,2025-06-20
136,불교,대금암,경상남도 진주시 대곡면 진의로 638,,2025-06-20
137,불교,대명사,경상남도 진주시 금산면 금산순환로22번길 14,055-761-2003,2025-06-20
138,불교,반야정사,경상남도 진주시 금산면 금산순환로80번길 62,055-763-4116,2025-06-20
139,불교,대광사,경상남도 진주시 금산면 금산순환로519번길 290,,2025-06-20
140,불교,성은암,경상남도 진주시 금산면 월아산로1440번길 209,,2025-06-20
141,불교,청곡사,경상남도 진주시 금산면 월아산로1440번길 138,055-762-9751,2025-06-20
142,불교,월아정사,경상남도 진주시 금산면 달음산로53번길 19,055-761-3036,2025-06-20
143,기독교,금산교회,경상남도 진주시 금산면 금산로 47-5,055-761-2393,2025-06-20
144,기독교,성림교회,경상남도 진주시 금산면 속사길 69-1,055-762-0675,2025-06-20
145,기독교,순복음진주 은평교회,경상남도 진주시 금산면 송백로 24,055-762-7933,2025-06-20
146,기독교,월드비젼교회,경상남도 진주시 금산면 중장로154번길 14,055-761-2127,2025-06-20
147,기독교,진주영광교회,경상남도 진주시 금산면 금산로 70-2,,2025-06-20
148,기독교,진주평강 순복음교회,경상남도 진주시 금산면 금산순환로 427-10,055-755-3891,2025-06-20
149,천주교,금산성당,경상남도 진주시 금산면 금산순환로 48,055-756-7030,2025-06-20
150,기독교,진주새금산교회,경상남도 진주시 금산면 금산순환로76번길 5,055-757-1691,2025-06-20
151,기독교,은혜와소망교회,경상남도 진주시 금산면 중천로 8-7,055-752-6675,2025-06-20
152,기독교,금산중앙교회,경상남도 진주시 금산면 금산순환로12번길 10-8,055-761-0691,2025-06-20
153,기독교,사랑은빛교회,"경상남도 진주시 금산면 중천로 17, 2층",,2025-06-20
154,기독교,진주벧엘교회,경상남도 진주시 금산면 금산로 78,070-4225-6595,2025-06-20
155,기독교,경남시민교회,경상남도 진주시 금산면 금산로 84,055-758-0679,2025-06-20
156,기독교,진주성락교회,경상남도 진주시 금산면 순환로519번길 84,,2025-06-20
157,기독교,평신도공동체basic교회,경상남도 진주시 금산면 갈전길 26,,2025-06-20
158,기독교,성샘교회,"경상남도 진주시 금산면 금산로 123, 2층",055-762-3550,2025-06-20
159,기독교,호수교회,경상남도 진주시 금산면 금산로 246,,2025-06-20
160,기독교,축복영성원,경상남도 진주시 금산면 금산로 246,,2025-06-20
161,불교,도리사,경상남도 진주시 집현면 한치골길44번길 9-4,055-748-8568,2025-06-20
162,불교,법문암,경상남도 진주시 집현면 진주성로452번길 8-5,055-748-0266,2025-06-20
163,불교,보림사,경상남도 진주시 집현면 진산로1497번길 65-10,055-746-9536,2025-06-20
164,불교,금륜사,경상남도 진주시 집현면 진산로 1528-7,055-754-3624,2025-06-20
165,불교,월곡사,경상남도 진주시 집현면 지내길101번길 61,055-746-0599,2025-06-20
166,불교,응석사,경상남도 진주시 집현면 응석로 435,055-746-0025,2025-06-20
167,불교,응암사,경상남도 진주시 집현면 응석로72번길 31,,2025-06-20
168,불교,해룡사,경상남도 진주시 집현면 응석로234-13,055-746-9923,2025-06-20
169,불교,운재원,경상남도 진주시 집현면 진산로1391번길 101-7,055-745-5920,2025-06-20
170,불교,고불사,경상남도 진주시 집현면 신당길132번길 38-1,,2025-06-20
171,불교,묘관음사,경상남도 진주시 집현면 지내길 13-10,,2025-06-20
172,불교,대성암,경상남도 진주시 집현면 진산로 977-50,055-746-3407,2025-06-20
173,기독교,대암교회,경상남도 진주시 집현면 응석로 14-6,055-746-9958,2025-06-20
174,기독교,덕오교회,경상남도 진주시 집현면 향양로89번길 20,055-772-6455,2025-06-20
175,기독교,죽산교회,경상남도 진주시 집현면 신당길 234,055-772-5780,2025-06-20
176,기독교,집현교회,경상남도 진주시 집현면 진산로 793-2,055-745-8053,2025-06-20
177,기독교,미천감리교회,경상남도 진주시 미천면 진산로 1851-5,055-744-1091,2025-06-20
178,기독교,상미교회,경상남도 진주시 미천면 상미로 85,055-742-6803,2025-06-20
179,기독교,미천교회,경상남도 진주시 미천면 오방로 644-16,055-744-1432,2025-06-20
180,불교,성불사,경상남도 진주시 미천면 안간길 292,055-744-1434,2025-06-20
181,불교,관음사,경상남도 진주시 미천면 오방로 199번길 32-9,055-745-0384,2025-06-20
182,불교,한보사,경상남도 진주시 미천면 널방재길 195번길 48-18,,2025-06-20
183,불교,부용사,경상남도 진주시 미천면 상미로 30-73,055-744-0636,2025-06-20
184,불교,성원사,경상남도 진주시 미천면 향양로 529번길 16-104,055-746-3513,2025-06-20
185,불교,월명암,경상남도 진주시 미천면 진산로 1623번길 21-199,055-745-1240,2025-06-20
186,불교,한마음선원 진주지원,경상남도 진주시 미천면 오방로 528-40,055-746-8162,2025-06-20
187,불교,보각사,경상남도 진주시 미천면 오방로 487번길 18-41,055-741-6063,2025-06-20
188,불교,여여암,경상남도 진주시 미천면 어옥로 232-72,055-744-5300,2025-06-20
189,불교,진각사,경상남도 진주시 미천면 향양로 689번길 14-8,,2025-06-20
190,불교,대선사,경상남도 진주시 미천면 오방로 985-9,,2025-06-20
191,불교,여여정사,경상남도 진주시 미천면 상미로 205-6,,2025-06-20
192,불교,화개사,경상남도 진주시 미천면 향양로365번길 41-10,,2025-06-20
193,불교,천약암,경상남도 진주시 명석면 진주대로2623번길 31,055-744-3841,2025-06-20
194,불교,용산사,경상남도 진주시 명석면 진주대로 1706번길 34-20,055-744-3106,2025-06-20
195,불교,정토사,경상남도 진주시 명석면 판문로 495번길 34,055-744-2167,2025-06-20
196,불교,대홍사,경상남도 진주시 명석면 광제산로 685번길 77-29,055-746-3979,2025-06-20
197,불교,약사암,경상남도 진주시 명석면 광제산로 864번길 12-11,055-745-9600,2025-06-20
198,불교,영광사,경상남도 진주시 명석면 진주대로 1764-31,055-744-3470,2025-06-20
199,불교,현덕사,경상남도 진주시 명석면 우수리 650,,2025-06-20
200,불교,학천사,경상남도 진주시 명석면 관지리 656,,2025-06-20
201,기독교,초원교회,경상남도 진주시 명석면 광제산로837번길 32-38,070-451-3633,2025-06-20
202,기독교,예원교회(동일사람의교회),경상남도 진주시 명석면 광제산로 745,070-8199-3927,2025-06-20
203,기독교,명석교회,경상남도 진주시 명석면 관덕길 25,055-745-6692,2025-06-20
204,기독교,명석장로교회,경상남도 진주시 명석면 광제산로 26번길 20,070-8683-8441,2025-06-20
205,기독교,외율교회,경상남도 진주시 명석면 외율길 57번길 9,055-743-5264,2025-06-20
206,기독교,보석교회,경상남도 진주시 명석면 진주대로1706번길 175-7,055-744-1724,2025-06-20
207,불교,관음사,경상남도 진주시 명석면 진주대로 2112,,2025-06-20
208,불교,관적사,경상남도 진주시 명석면 관덕길 47-25,055-745-1282,2025-06-20
209,불교,광제암,경상남도 진주시 명석면 광제산로837번길 73,,2025-06-20
210,불교,극락선원,경상남도 진주시 명석면 광제산로 354,055-746-6080,2025-06-20
211,불교,불곡암,경상남도 진주시 명석면 광제산로 133-21,055-744-4595,2025-06-20
212,불교,무위사,경상남도 진주시 명석면 나불로 186-72,,2025-06-20
213,불교,석불사,경상남도 진주시 명석면 남성로 563,055-745-2951,2025-06-20
214,불교,장흥사,경상남도 진주시 명석면 남성로689번길 190,,2025-06-20
215,불교,대원암,경상남도 진주시 명석면 남성로445번길 14-1,,2025-06-20
216,불교,광흥사,경상남도 진주시 명석면 광제산로635번길 35-9,055-745-1475,2025-06-20
217,불교,마하연,경상남도 진주시 명석면 광제산로 596,055-746-3396,2025-06-20
218,불교,보현사,경상남도 진주시 명석면 광제산로 1100-23,055-745-3714,2025-06-20
219,불교,성중사,경상남도 진주시 명석면 광제산로1032번길90,055-746-0820,2025-06-20
220,불교,대덕암,경상남도 진주시 명석면 광제산로833번길24-3,055-745-7313,2025-06-20
221,불교,광덕사,경상남도 진주시 명석면 외율길10번길 60-104,055-742-6044,2025-06-20
222,불교,축원암,경상남도 진주시 명석면 외율길54번길102-59,055-744-3044,2025-06-20
223,불교,수덕사,경상남도 진주시 명석면 외율길54번길102-68,055-745-7499,2025-06-20
224,불교,소원사,경상남도 진주시 명석면 팔미길 74-19,055-744-3973,2025-06-20
225,불교,무애사,경상남도 진주시 명석면 진주대로 2477-17,055-744-2181,2025-06-20
226,불교,백운사,경상남도 진주시 명석면 진주대로 2207-44,055-744-3778,2025-06-20
227,불교,무량사,경상남도 진주시 명석면 오미길341번길 56,055-744-6188,2025-06-20
228,불교,성불사,경상남도 진주시 명석면 가화로 664-19,055-744-4059,2025-06-20
229,불교,삼불암,경상남도 진주시 명석면 진주대로2311번길 157-5,055-744-3838,2025-06-20
230,불교,복천사,경상남도 진주시 명석면 진주대로 1947-60,,2025-06-20
231,불교,연화사,경상남도 진주시 명석면 진주대로1918번길 195-62,055-744-3367,2025-06-20
232,불교,극락암,경상남도 진주시 명석면 관덕길 156,055-747-4866,2025-06-20
233,불교,명성암,경상남도 진주시 대평면 호반로 975-82,055-759-0608,2025-06-20
234,불교,원광사,경상남도 진주시 대평면 한들길 2-26,055-744-3986,2025-06-20
235,불교,정심선원,경상남도 진주시 대평면 원당길158번길 68,055-758-8535,2025-06-20
236,기독교,대평교회,경상남도 진주시 대평면 한들길42번길 11-10,055-744-3738,2025-06-20
237,불교,법연사,경상남도 진주시 수곡면 중전길268번길 8-29,055-754-4957,2025-06-20
238,불교,선암사,경상남도 진주시 수곡면 사곡로681번길 51-9,055-758-7400,2025-06-20
239,불교,성암사,경상남도 진주시 수곡면 덕천로 308-6,,2025-06-20
240,불교,월계암,경상남도 진주시 수곡면 시묘산길 324-5,,2025-06-20
241,불교,한산사,경상남도 진주시 수곡면 곤수로514번길 107,055-758-0663,2025-06-20
242,기독교,평화교회,경상남도 진주시 수곡면 원외길22번길 19,055-758-0129,2025-06-20
243,기독교,제일교회,경상남도 진주시 수곡면 옥수로580번길 13,,2025-06-20
244,불교,대덕사,경상남도 진주시 수곡면 사곡로90번길 13-9,055-741-3318,2025-06-20
245,불교,마니굴,경상남도 진주시 수곡면 곤수로1407번길 36-20,,2025-06-20
246,기독교,자매교회,경상남도 진주시 수곡면 사곡로681번길 20-1,,2025-06-20
247,기독교,작은교회,경상남도 진주시 수곡면 대각길 150,,2025-06-20
248,불교,정법사,경상남도 진주시 봉수대길 64,055-752-0609,2025-06-20
249,불교,월경사,경상남도 진주시 망경로224번길 45,055-753-6411,2025-06-20
250,불교,총림선원,경상남도 진주시 망진산길 71,055-752-6491,2025-06-20
251,불교,금선암,경상남도 진주시 천수로137번길 38,055-752-1032,2025-06-20
252,불교,보덕암,경상남도 진주시 주약약골길8번길 36,055-762-0254,2025-06-20
253,불교,용화암,경상남도 진주시 천수로155번길 16-1,,2025-06-20
254,기독교,진주갈릴리교회,경상남도 진주시 천수로 141,055-758-8081,2025-06-20
255,기독교,진주남교회,경상남도 진주시 망경남길24번길 7,055-755-6487,2025-06-20
256,기독교,큰터교회,경상남도 진주시 천수로33번길 12,055-753-8764,2025-06-20
257,기독교,진주은빛교회,경상남도 진주시 주약약골길28번길 21,055-754-0241,2025-06-20
258,기독교,순복음진주 초대교회,경상남도 진주시 망경남길66번길 11,055-762-0191,2025-06-20
259,기독교,주약교회,"경상남도 진주시 천수로 49, 4층",,2025-06-20
260,기독교,임마누엘누림교회,"경상남도 진주시 망경남길 49, 2층",,2025-06-20
261,천주교,망경성당,경상남도 진주시 천수로152번길 24,055-756-5680,2025-06-20
262,불교,진주보천 심인당,경상남도 진주시 강남로247번길 9,055-757-1506,2025-06-20
263,불교,여래사,경상남도 진주시 강남로 181-4,055-758-6007,2025-06-20
264,기독교,남부교회,경상남도 진주시 진주대로908번길 17-2,055-758-0162,2025-06-20
265,기독교,명성교회,경상남도 진주시 강남로201번길 21-1,055-757-0647,2025-06-20
266,천주교,칠암성당,경상남도 진주시 진주대로986번길 9,055-752-3864,2025-06-20
267,기타,진주가정교회,경상남도 진주시 강남로 247,055-762-8341,2025-06-20
268,천리교,천리교 본성교회,경상남도 진주시 강남로151번길 11,,2025-06-20
269,불교,법장사,경상남도 진주시 천수로237번길 14,055-752-5164,2025-06-20
270,기독교,한빛교회,"경상남도 진주시 망경로 279-1, 지하1층",,2025-06-20
271,기독교,진주환언교회,"경상남도 진주시 망경로298번길 6-1, 2층",055-755-7505,2025-06-20
272,기독교,호산나교회,"경상남도 진주시 진주대로 982, 지하1층",,2025-06-20
273,기독교,진주침례교회,"경상남도 진주시 강남로 95번길 6, 2층",055-756-0691,2025-06-20
274,불교,불교 총지종 화음사,경상남도 진주시 강남로301번길 8,055-755-4697,2025-06-20
275,불교,진순법당,경상남도 진주시 진주대로915번길 15,055-755-9226,2025-06-20
276,불교,진주도림사,경상남도 진주시 진주대로941번길 19,,2025-06-20
277,기독교,사랑의교회,"경상남도 진주시 진주대로 934, 3층",,2025-06-20
278,기독교,하나되는 교회,"경상남도 진주시 망경남길 49, 2층",,2025-06-20
279,기독교,진주교회,경상남도 진주시 천수로 213-10,,2025-06-20
280,기독교,소망침례교회,"경상남도 진주시 진주대로960번길 9, 3층",055-762-1611,2025-06-20
281,기독교,진주말씀,"경상남도 진주시 진주대로908번길 5-4, 2충",055-761-4689,2025-06-20
282,기독교,선교장로교회,경상남도 진주시 진주대로 849-4,055-762-5218,2025-06-20
283,기독교,비전교회,"경상남도 진주시 강남로 183, 2층",,2025-06-20
284,불교,호국사,경상남도 진주시 남강로 626-71,055-741-4394,2025-06-20
285,불교,보현사,경상남도 진주시 진주대로1143번길 8,055-745-6782,2025-06-20
286,불교,진주불교회관,경상남도 진주시 진주대로 1117,055-747-0108,2025-06-20
287,불교,성주회,"경상남도 진주시 진양호로 508, 3~4층",,2025-06-20
288,불교,대순진리,"경상남도 진주시 진양호로 451, 3층",055-741-5134,2025-06-20
289,불교,통달사,"경상남도 진주시 진주대로 1169-2, 2층",,2025-06-20
290,천주교,봉곡성당,경상남도 진주시 진주대로 1178,055-746-6957,2025-06-20
291,기독교,천부교진주교회,경상남도 진주시 북장대로 6번길14-1,,2025-06-20
292,기독교,참사랑 교회,"경상남도 진주시 창렬로 27, 2층",,2025-06-20
293,기독교,동산교회,경상남도 진주시 비봉로30번길 9,055-743-8511,2025-06-20
294,기독교,중부교회,경상남도 진주시 비봉로39번길 8,055-747-2733,2025-06-20
295,기독교,기독교대한 성결교중앙교회,경상남도 진주시 비봉로39번길 13,055-742-8296,2025-06-20
296,기독교,제7일안식일재림교진주중앙교회,경상남도 진주시 비봉로 27,055-741-5632,2025-06-20
297,기독교,하나님의교회,경상남도 진주시 북장대로 50,055-745-1925,2025-06-20
298,기독교,갈보리교회,"경상남도 진주시 창렬로 23-4, 1층",,2025-06-20
299,기독교,물댄동산교회,"경상남도 진주시 촉석로 126, 4층",055-741-0991,2025-06-20
300,기독교,생명나무교회,"경상남도 진주시 진주성로 61, 3층",,2025-06-20
301,기독교,진주농아인교회,"경상남도 진주시 진양호로 508, 2층",,2025-06-20
302,기독교,평안한교회,"경상남도 진주시 진주대로 1167, 2층",,2025-06-20
303,천리교,천리교진성교회,"경상남도 진주시 촉석로 154, 3층",,2025-06-20
304,기독교,전산장로교회,경상남도 진주시 촉석로 142,,2025-06-20
305,기독교,진주성전,경상남도 진주시 진주성로 37-1,055-741-3541,2025-06-20
